 	Label	X	Y	Major	Minor	Angle
219	CombinedStack-1.tif:YPE_042715_020_RFPstack_055	164.990	118.188	28.772	23.100	131.354
220	CombinedStack-1.tif:YPE_042715_020_RFPstack_055	116.378	125.576	96.713	77.029	177.621
221	CombinedStack-1.tif:YPE_042715_023_RFPstack_056	124.558	127.207	94.709	74.277	162.501
222	CombinedStack-1.tif:YPE_042715_023_RFPstack_057	124.265	124.292	84.971	77.619	142.610
223	CombinedStack-1.tif:YPE_042715_023_RFPstack_058	127.641	127.537	83.513	60.511	55.100
224	CombinedStack-1.tif:YPE_042715_023_RFPstack_059	130.498	125.653	77.494	61.876	66.663
225	CombinedStack-1.tif:YPE_042715_023_RFPstack_060	130.353	121.915	99.292	71.720	21.003
226	CombinedStack-1.tif:YPE_042715_023_RFPstack_060	81.203	136.694	18.600	15.197	160.159
227	CombinedStack-1.tif:YPE_052315_001_RFPstack_000	126.506	126.909	92.049	84.335	137.852
228	CombinedStack-1.tif:YPE_052315_001_RFPstack_001	126.173	124.851	71.892	68.008	80.115
229	CombinedStack-1.tif:YPE_052315_003_RFPstack_002	159.405	114.064	16.969	15.832	25.839
230	CombinedStack-1.tif:YPE_052315_003_RFPstack_002	118.225	125.972	82.205	77.970	43.887
231	CombinedStack-1.tif:YPE_052315_003_RFPstack_003	91.317	100.602	42.805	34.832	12.373
232	CombinedStack-1.tif:YPE_052315_003_RFPstack_003	137.939	126.452	92.004	78.259	11.093
233	CombinedStack-1.tif:YPE_052315_003_RFPstack_004	154.813	122.252	97.374	88.170	4.278
234	CombinedStack-1.tif:YPE_052315_003_RFPstack_004	84.437	136.303	62.731	52.548	172.299
235	CombinedStack-1.tif:YPE_052315_003_RFPstack_005	115.178	117.464	86.674	69.645	148.523
236	CombinedStack-1.tif:YPE_052315_003_RFPstack_005	156.863	147.128	45.205	31.461	146.083
237	CombinedStack-1.tif:YPE_052315_005_RFPstack_006	139.157	85.406	29.235	23.213	129.831
238	CombinedStack-1.tif:YPE_052315_005_RFPstack_006	125.906	126.754	90.373	76.431	61.761
239	CombinedStack-1.tif:YPE_052315_005_RFPstack_007	125.278	126.671	80.062	62.913	159.709
240	CombinedStack-1.tif:YPE_052315_005_RFPstack_008	116.583	90.619	81.168	79.279	172.179
241	CombinedStack-1.tif:YPE_052315_005_RFPstack_008	138.336	161.913	65.375	56.734	129.393
242	CombinedStack-1.tif:YPE_052315_007_RFPstack_009	92.860	91.758	60.675	45.956	161.542
243	CombinedStack-1.tif:YPE_052315_007_RFPstack_009	142.720	143.487	101.554	88.114	127.100
244	CombinedStack-1.tif:YPE_052315_007_RFPstack_010	124.951	95.146	88.741	67.607	43.294
245	CombinedStack-1.tif:YPE_052315_007_RFPstack_010	125.663	162.095	60.786	54.796	75.654
246	CombinedStack-1.tif:YPE_052315_009_RFPstack_011	104.645	117.914	93.933	67.367	157.778
247	CombinedStack-1.tif:YPE_052315_009_RFPstack_011	169.454	148.096	59.386	55.379	22.646
248	CombinedStack-1.tif:YPE_052315_011_RFPstack_012	106.641	96.484	38.412	33.578	149.606
249	CombinedStack-1.tif:YPE_052315_011_RFPstack_012	130.802	141.569	75.375	70.896	78.742
250	CombinedStack-1.tif:YPE_052315_011_RFPstack_013	149.622	104.571	100.077	86.106	15.184
251	CombinedStack-1.tif:YPE_052315_011_RFPstack_013	91.522	156.188	64.862	46.739	44.189
252	CombinedStack-1.tif:YPE_052315_011_RFPstack_014	122.083	88.171	89.746	84.513	122.144
253	CombinedStack-1.tif:YPE_052315_011_RFPstack_014	136.349	168.523	67.020	56.595	91.171
254	CombinedStack-1.tif:YPE_052315_011_RFPstack_015	100.472	103.871	78.163	66.103	158.723
255	CombinedStack-1.tif:YPE_052315_011_RFPstack_015	155.321	144.430	62.154	52.934	153.079
256	CombinedStack-1.tif:YPE_052315_013_RFPstack_016	168.984	116.002	61.414	54.090	178.790
257	CombinedStack-1.tif:YPE_052315_013_RFPstack_016	92.181	132.543	94.352	81.048	175.124
258	CombinedStack-1.tif:YPE_052315_013_RFPstack_017	129.413	124.647	96.932	84.710	36.059
259	CombinedStack-1.tif:YPE_052315_013_RFPstack_017	83.650	125.155	33.032	30.143	166.667
260	CombinedStack-1.tif:YPE_052315_013_RFPstack_018	95.942	85.436	39.973	27.903	121.525
261	CombinedStack-1.tif:YPE_052315_013_RFPstack_018	127.703	138.854	95.351	81.895	177.246
262	CombinedStack-1.tif:YPE_052315_013_RFPstack_019	105.982	112.009	81.732	69.666	135.306
263	CombinedStack-1.tif:YPE_052315_013_RFPstack_019	155.279	148.395	61.785	51.024	154.800
264	CombinedStack-1.tif:YPE_052315_015_RFPstack_020	160.007	125.406	110.864	104.384	37.170
265	CombinedStack-1.tif:YPE_052315_015_RFPstack_020	73.879	151.892	81.146	67.627	22.571
266	CombinedStack-1.tif:YPE_052315_015_RFPstack_021	117.136	90.040	116.004	89.673	107.506
267	CombinedStack-1.tif:YPE_052315_015_RFPstack_021	142.675	171.130	73.731	65.552	116.080
268	CombinedStack-1.tif:YPE_052315_017_RFPstack_022	149.225	91.028	59.999	53.986	34.802
269	CombinedStack-1.tif:YPE_052315_017_RFPstack_022	108.657	151.357	85.234	82.803	176.812
270	CombinedStack-1.tif:YPE_052315_019_RFPstack_023	155.496	83.970	39.372	30.981	50.240
271	CombinedStack-1.tif:YPE_052315_019_RFPstack_023	124.785	139.758	87.762	80.867	73.260
272	CombinedStack-1.tif:YPE_052315_019_RFPstack_024	114.531	86.667	46.152	44.030	129.830
